# Unihan 17.0.0 kMandarin; frequency from rime-pinyin-simp
㕖	su	4	0
㕗	you	4	0
㕙	jun	4	0
㕚	zhao	3	0
㕛	xu	4	0
㕜	shi	3	0
㕞	shua	1	0
㕟	kui	4	0
㕠	shuang	1	0
㕡	he	2	0
㕢	gai	4	0
㕣	yan	3	0
㕤	qiu	2	0
㕥	shen	1	0
㕦	hua	4	0
㕧	xi	1	0
㕨	fan	4	0
㕩	pang	4	0
㕪	dan	3	0
㕫	fang	3	0
㕬	gong	1	0
㕭	ao	1	0
㕮	fu	3	0
㕯	ne	4	0
㕰	xue	4	0
㕱	you	2	0
㕲	hua	2	0
㕴	chen	2	0
㕵	guo	2	0
㕶	n	3	0
㕷	hua	4	0
㕸	li	4	0
㕹	fa	2	0
㕺	xiao	1	0
㕻	pou	3	0
㕽	si	4	0
㖀	le	4	0
㖁	lin	4	0
㖂	yi	4	0
㖃	hou	3	0
㖅	xu	4	0
㖆	qu	2	0
㖇	er	2	0
㖊	xun	2	0
㖏	nie	4	0
㖐	wei	3	0
㖑	xie	4	0
㖒	ti	2	0
㖓	hong	2	0
㖔	tun	3	0
㖕	nie	4	0
㖖	nie	4	0
㖗	yin	2	0
㖘	zhen	1	0
㖞	wai	1	0
㖟	shou	4	0
㖠	nuo	4	0
㖡	ye	4	0
㖢	qi	2	0
㖣	tou	4	0
㖤	han	2	0
㖥	jun	4	0
㖦	dong	3	0
㖧	hun	1	0
㖨	lu	4	0
㖩	ju	1	0
㖪	huo	4	0
㖫	ling	2	0
㖭	tian	3	0
㖮	lun	2	0
㖵	ge	2	0
㖶	yan	1	0
㖷	shi	2	0
㖸	xue	2	0
㖹	pen	1	0
㖺	chun	3	0
㖻	niu	2	0
㖼	duo	3	0
㖽	ze	2	0
㖾	e	4	0
㖿	xie	2	0
㗀	you	1	0
㗁	e	4	0
㗂	sheng	3	0
㗃	wen	3	0
㗄	ku	1	0
㗅	hu	2	0
㗆	ge	2	0
㗇	xia	2	0
㗈	man	4	0
㗉	lve	4	0
㗊	ji	2	0
㗋	hou	2	0
㗌	zhi	4	0
㗏	wai	1	0
㗑	bai	5	0
㗒	ai	4	0
㗓	zhui	1	0
㗔	qian	1	0
㗕	gou	4	0
㗖	dan	4	0
㗗	bei	1	0
㗘	bo	2	0
㗙	chu	1	0
㗚	li	4	0
㗛	xiao	4	0
㗜	xiu	4	0
㗢	hong	2	0
㗣	ti	4	0
㗤	cu	4	0
㗥	kuo	4	0
㗦	lao	2	0
㗧	zhi	4	0
㗨	xie	1	0
㗩	xi	1	0
㗫	qie	4	0
㗬	zha	1	0
㗭	xi	1	0
㗰	cong	2	0
㗱	ji	2	0
㗲	huo	4	0
㗳	ta	3	0
㗴	yan	2	0
㗵	xu	4	0
㗶	po	1	0
㗷	sai	3	0
㗻	guo	1	0
㗼	ye	4	0
㗽	xiang	3	0
㗾	xue	1	0
㗿	he	2	0
㘀	zuo	4	0
㘁	yi	4	0
㘂	ci	2	0
㘄	leng	1	0
㘅	xian	2	0
㘆	tai	3	0
㘇	rong	2	0
㘈	yi	4	0
㘉	zhi	4	0
㘊	xi	1	0
㘋	xian	2	0
㘌	ju	4	0
㘍	ji	2	0
㘎	han	3	0
㘐	pao	4	0
㘑	li	4	0
㘓	lan	2	0
㘔	sai	3	0
㘕	han	3	0
㘖	yan	2	0
㘗	qu	1	0
㘙	yan	2	0
㘚	han	3	0
㘛	kan	1	0
㘜	chi	3	0
㘝	nie	4	0
㘞	huo	4	0
㘠	bi	4	0
㘡	xia	2	0
㘢	weng	3	0
㘣	xuan	2	0
㘤	wan	1	0
㘥	you	2	0
㘦	qin	2	0
㘧	xu	4	0
㘨	nie	4	0
㘩	bi	4	0
㘪	hao	4	0
㘫	jing	3	0
㘬	ao	4	0
㘭	ao	4	0
㘰	zhen	1	0
㘱	tan	1	0
㘲	ju	2	0
㘴	zuo	4	0
㘵	bu	4	0
㘶	jie	2	0
㘷	ai	4	0
㘸	zang	4	0
㘹	ci	2	0
㘺	fa	2	0
㘿	nie	4	0
㙀	liu	4	0
㙁	mei	2	0
㙂	dui	4	0
㙃	bang	1	0
㙄	bi	4	0
㙅	bao	3	0
㙇	chu	4	0
㙈	xia	4	0
㙉	tian	3	0
㙊	chang	2	0
㙍	duo	1	0
㙎	wei	1	0
㙏	fu	4	0
㙐	duo	3	0
㙑	yu	3	0
㙒	ye	3	0
㙓	kui	2	0
㙔	wei	3	0
㙕	kuai	4	0
㙗	wei	1	0
㙘	yao	1	0
㙙	long	3	0
㙚	xing	1	0
㙛	bu	3	0
㙜	chi	2	0
㙝	xie	2	0
㙞	nie	4	0
㙟	lang	3	0
㙠	yi	1	0
㙡	zong	1	0
㙢	man	2	0
㙣	zhang	4	0
㙤	xia	4	0
㙥	gun	4	0
㙦	xie	2	0
㙨	ji	4	0
㙩	liao	2	0
㙪	yi	4	0
㙫	ji	2	0
㙬	yin	2	0
㙮	da	1	0
㙯	yi	4	0
㙰	xie	4	0
㙱	hao	4	0
㙲	yong	3	0
㙳	kan	3	0
㙴	chan	4	0
㙵	tai	2	0
㙶	tang	2	0
㙷	zhi	2	0
㙸	bao	4	0
㙹	meng	2	0
㙺	kui	2	0
㙻	chan	2	0
㙼	lei	3	0
㙾	xi	4	0
㚀	xi	1	0
㚁	qiao	4	0
㚂	nang	4	0
㚃	yun	1	0
㚅	long	2	0
㚆	fu	4	0
㚇	zong	1	0
㚉	gu	3	0
㚊	kai	1	0
㚋	diao	1	0
㚌	hua	4	0
㚍	kui	3	0
㚏	gao	3	0
㚐	tao	4	0
㚒	shan	3	0
㚓	lai	3	0
㚔	nie	4	0
㚕	fu	2	0
㚖	gao	3	0
㚗	qie	2	0
㚘	ban	4	0
㚙	jia	1	0
㚚	kong	1	0
㚛	xi	4	0
㚜	yu	4	0
㚝	zhui	1	0
㚞	shen	3	0
㚟	chuo	4	0
㚠	xiao	1	0
㚡	ji	3	0
㚢	nu	2	0
㚣	xiao	2	0
㚤	yi	4	0
㚥	yu	2	0
㚦	yi	2	0
㚧	yan	3	0
㚨	shen	3	0
㚩	ran	3	0
㚪	hao	4	0
㚫	sa	4	0
㚬	jun	1	0
㚭	you	2	0
㚯	xin	2	0
㚰	pei	1	0
㚱	qiu	1	0
㚲	chan	1	0
㚴	bu	4	0
㚵	dong	1	0
㚶	si	4	0
㚷	er	3	0
㚹	mao	3	0
㚺	yun	4	0
㚻	ji	1	0
㚽	qiao	3	0
㚾	xiong	1	0
㚿	pao	2	0
㛀	chu	2	0
㛁	peng	1	0
㛂	nuo	3	0
㛃	jie	2	0
㛄	yi	1	0
㛅	er	4	0
㛆	duo	4	0
㛊	duo	3	0
㛍	qie	4	0
㛎	lv	3	0
㛏	qiu	2	0
㛐	sou	3	0
㛑	can	4	0
㛒	dou	4	0
㛓	xi	1	0
㛔	feng	1	0
㛕	yi	4	0
㛖	suo	1	0
㛗	qie	1	0
㛘	po	4	0
㛙	xin	1	0
㛚	tong	3	0
㛛	xin	4	0
㛜	you	2	0
㛝	bei	4	0
㛞	long	4	0
㛣	yun	2	0
㛤	li	2	0
㛥	ta	4	0
㛦	lan	3	0
㛧	man	3	0
㛨	qiang	3	0
㛩	zhou	2	0
㛪	yan	4	0
㛫	xi	1	0
㛬	lu	4	0
㛭	xi	1	0
㛮	sao	3	0
㛯	fan	4	0
㛱	wei	3	0
㛲	fa	4	0
㛳	yi	4	0
㛴	nao	3	0
㛵	cheng	1	0
㛶	tan	4	0
㛷	ji	1	0
㛸	shu	4	0
㛹	pian	2	0
㛺	an	1	0
㛻	kua	1	0
㛼	cha	1	0
㛾	xian	2	0
㛿	zhi	4	0
㜂	feng	1	0
㜃	lian	4	0
㜄	xun	2	0
㜅	xu	4	0
㜆	mi	4	0
㜇	hui	4	0
㜈	mu	4	0
㜉	yong	1	0
㜊	zhan	3	0
㜋	yi	4	0
㜌	nou	3	0
㜍	tang	2	0
㜎	xi	1	0
㜏	yun	2	0
㜐	shu	4	0
㜑	fu	2	0
㜒	yi	4	0
㜓	da	2	0
㜕	lian	2	0
㜖	cao	2	0
㜗	can	1	0
㜘	ju	4	0
㜙	lu	4	0
㜚	su	4	0
㜛	nen	4	0
㜜	ao	4	0
㜝	an	3	0
㜞	qian	4	0
㜠	cui	1	0
㜡	cong	1	0
㜣	ran	2	0
㜤	nian	3	0
㜥	mai	2	0
㜦	xin	2	0
㜧	yue	4	0
㜨	nai	2	0
㜩	ao	4	0
㜪	shen	1	0
㜫	ma	4	0
㜮	lan	4	0
㜯	xi	1	0
㜰	yue	4	0
㜱	zhi	4	0
㜲	weng	3	0
㜳	huai	2	0
㜴	meng	4	0
㜵	niao	3	0
㜶	wan	3	0
㜷	mi	2	0
㜸	nie	4	0
㜹	qu	2	0
㜺	zan	4	0
㜻	lian	4	0
㜼	zhi	2	0
㜽	zi	3	0
㜾	hai	2	0
㜿	xu	4	0
㝀	hao	4	0
㝁	xuan	1	0
㝂	zhi	4	0
㝃	mian	3	0
㝄	chun	2	0
㝅	gou	4	0
㝇	chun	2	0
㝈	luan	2	0
㝉	zhu	4	0
㝊	shou	3	0
㝋	liao	3	0
㝌	jiu	4	0
㝍	xie	3	0
㝎	ding	4	0
㝏	jie	4	0
㝐	rong	2	0
㝑	mang	2	0
㝓	ke	4	0
㝔	yao	3	0
㝕	ning	2	0
㝖	yi	2	0
㝗	lang	2	0
㝘	yong	2	0
㝙	yin	2	0
㝚	yan	2	0
㝛	su	4	0
㝝	lin	2	0
㝞	ya	1	0
㝟	mao	2	0
㝠	ming	2	0
㝡	zui	4	0
㝢	yu	3	0
㝣	yi	4	0
㝤	gou	4	0
㝥	mi	3	0
㝦	jun	4	0
㝧	wen	3	0
㝩	kang	1	0
㝪	dian	4	0
㝫	long	2	0
㝭	xing	3	0
㝮	cui	4	0
㝯	qiao	2	0
㝰	mian	2	0
㝱	meng	4	0
㝲	qin	3	0
㝴	wan	2	0
㝵	de	2	0
㝶	ai	4	0
㝸	bian	4	0
㝹	nou	2	0
㝺	lian	2	0
㝻	jin	3	0
㝼	yu	1	0
㝽	chui	2	0
㝾	zuo	3	0
㝿	bo	3	0
㞀	hui	1	0
㞁	yao	4	0
㞂	tui	3	0
㞃	ji	4	0
㞄	an	1	0
㞅	luo	4	0
㞆	ji	3	0
㞇	wei	3	0
㞈	bo	1	0
㞉	za	1	0
㞊	xu	4	0
㞋	nian	3	0
㞌	yun	4	0
㞎	ba	3	0
㞏	zhe	2	0
㞐	ju	1	0
㞑	wei	3	0
㞒	xie	4	0
㞓	qi	4	0
㞔	yi	2	0
㞕	xie	4	0
㞖	ci	2	0
㞗	qiu	2	0
㞘	du	1	0
㞙	niao	4	0
㞚	qi	4	0
㞛	ji	3	0
㞜	tui	1	0
㞞	song	2	0
㞟	dian	4	0
㞠	lao	2	0
㞡	zhan	3	0
㞤	yin	2	0
㞥	cen	2	0
㞦	ji	3	0
㞧	hui	4	0
㞨	zi	3	0
㞩	lan	2	0
㞪	nao	2	0
㞫	ju	4	0
㞬	qin	4	0
㞭	dai	4	0
㞯	jie	2	0
㞰	xu	3	0
㞱	cong	1	0
㞲	yong	4	0
㞳	dou	3	0
㞴	chi	2	0
㞶	min	3	0
㞷	huang	2	0
㞸	sui	4	0
㞹	ke	3	0
㞺	zu	2	0
㞻	hao	4	0
㞼	cheng	2	0
㞽	xue	4	0
㞾	ni	2	0
㞿	chi	4	0
㟀	lian	2	0
㟁	an	4	0
㟂	mu	3	0
㟃	si	1	0
㟄	xiang	2	0
㟅	yang	2	0
㟆	hua	2	0
㟇	cuo	4	0
㟈	qiu	2	0
㟉	lao	2	0
㟊	fu	2	0
㟋	dui	4	0
㟌	mang	2	0
㟍	lang	2	0
㟎	tuo	3	0
㟏	han	2	0
㟐	mang	3	0
㟑	bo	2	0
㟒	qun	1	0
㟓	qi	2	0
㟔	han	2	0
㟖	long	4	0
㟗	bin	1	0
㟘	tiao	2	0
㟙	ze	2	0
㟚	qi	2	0
㟛	zan	4	0
㟜	mi	2	0
㟝	pei	2	0
㟞	zhan	4	0
㟟	xiang	4	0
㟠	gang	3	0
㟢	qi	2	0
㟤	lu	4	0
㟥	cen	1	0
㟦	yun	4	0
㟧	e	4	0
㟨	duan	1	0
㟩	min	2	0
㟪	wei	1	0
㟫	quan	2	0
㟬	sou	3	0
㟭	min	2	0
㟮	tu	1	0
㟰	ming	3	0
㟱	yao	3	0
㟲	jue	2	0
㟳	li	4	0
㟴	kuai	4	0
㟵	gang	3	0
㟶	yuan	2	0
㟷	da	5	0
㟹	lao	2	0
㟺	lou	2	0
㟻	qian	4	0
㟼	ao	2	0
㟽	biao	3	0
㟾	yong	1	0
㟿	mang	3	0
㠀	dao	3	0
㠂	ao	2	0
㠄	xi	2	0
㠅	fu	2	0
㠆	dan	1	0
㠇	jiu	4	0
㠈	run	4	0
㠉	tong	2	0
㠊	qu	1	0
㠋	e	4	0
㠌	qi	1	0
㠍	ji	2	0
㠎	ji	2	0
㠏	hua	2	0
㠐	jiao	4	0
㠑	zui	4	0
㠒	biao	3	0
㠓	meng	2	0
㠔	bai	4	0
㠕	wei	3	0
㠖	yi	3	0
㠗	ao	4	0
㠘	yu	3	0
㠙	hao	2	0
㠚	dui	4	0
㠛	wo	4	0
㠜	ni	4	0
㠝	cuan	2	0
㠟	li	2	0
㠠	lu	2	0
㠡	niao	3	0
㠢	huai	2	0
㠣	li	4	0
㠥	lv	4	0
㠦	feng	1	0
㠧	mi	3	0
㠨	yu	4	0
㠪	ju	4	0
㠭	zhan	3	0
㠮	peng	1	0
㠯	yi	3	0
㠱	ji	4	0
㠲	bi	3	0
㠴	ren	4	0
㠵	huang	1	0
㠶	fan	2	0
㠷	ge	2	0
㠸	ku	4	0
㠹	jie	4	0
㠺	sha	1	0
㠼	si	1	0
㠽	tong	2	0
㠾	yuan	1	0
㠿	zi	1	0
㡀	bi	4	0
㡁	kua	3	0
㡂	li	4	0
㡃	huang	1	0
㡄	xun	2	0
㡅	nuo	3	0
㡇	zhe	2	0
㡈	wen	4	0
㡉	xian	2	0
㡊	qia	4	0
㡋	ye	2	0
㡌	mao	4	0
㡎	shan	1	0
㡏	shu	4	0
㡑	qiao	1	0
㡒	zhun	1	0
㡓	kun	1	0
㡔	wu	4	0
㡕	ying	1	0
㡖	chuang	2	0
㡗	ti	2	0
㡘	lian	2	0
㡙	bi	1	0
㡚	gou	1	0
㡛	mang	2	0
㡜	xie	4	0
㡝	feng	4	0
㡞	lou	2	0
㡟	zao	1	0
㡠	zheng	4	0
㡡	chu	2	0
㡢	man	4	0
㡣	long	2	0
㡥	yin	4	0
㡦	pin	1	0
㡧	zheng	4	0
㡨	jian	1	0
㡩	luan	2	0
㡪	nie	2	0
㡫	yi	4	0
㡭	ji	4	0
㡮	ji	2	0
㡯	zhai	2	0
㡰	yu	3	0
㡱	jiu	3	0
㡲	huan	2	0
㡳	zhi	3	0
㡴	la	1	0
㡵	ling	2	0
㡶	zhi	3	0
㡷	ben	3	0
㡸	zha	4	0
㡹	ju	1	0
㡺	dan	4	0
㡻	liao	4	0
㡼	yi	4	0
㡽	zhao	4	0
㡾	xian	4	0
㡿	chi	4	0
㢀	ci	4	0
㢁	chi	3	0
㢂	yan	3	0
㢃	lang	2	0
㢄	dou	4	0
㢅	long	4	0
㢆	chan	2	0
㢈	tui	2	0
㢉	cha	2	0
㢊	ai	3	0
㢋	chi	3	0
㢍	ying	3	0
㢎	zhe	2	0
㢏	tou	2	0
㢑	tui	2	0
㢒	cha	2	0
㢓	yao	3	0
㢔	zong	3	0
㢖	pan	1	0
㢗	qiao	4	0
㢘	lian	2	0
㢙	qin	2	0
㢚	lu	3	0
㢛	yan	4	0
㢜	kang	4	0
㢝	su	1	0
㢞	yi	4	0
㢟	chan	1	0
㢠	jiong	3	0
㢡	jiang	3	0
㢣	jing	4	0
㢥	dong	4	0
㢧	juan	4	0
㢨	han	4	0
㢩	di	4	0
㢬	hong	2	0
㢮	chi	2	0
㢯	diao	1	0
㢰	bi	4	0
㢲	xun	4	0
㢳	lu	2	0
㢵	xie	2	0
㢶	bi	4	0
㢸	bi	4	0
㢺	xian	2	0
㢻	rui	4	0
㢼	bie	4	0
㢽	er	3	0
㢾	juan	4	0
㣀	zhen	4	0
㣁	bei	4	0
㣂	e	4	0
㣃	yu	3	0
㣄	qu	2	0
㣅	zan	4	0
㣆	mi	2	0
㣇	yi	4	0
㣈	si	4	0
㣌	shan	4	0
㣍	tai	2	0
㣎	mu	4	0
㣏	jing	4	0
㣐	bian	4	0
㣑	rong	2	0
㣒	ceng	4	0
㣓	can	4	0
㣔	ding	1	0
㣙	di	2	0
㣚	tong	3	0
㣛	ta	4	0
㣜	xing	2	0
㣝	song	1	0
㣞	duo	2	0
㣟	xi	4	0
㣠	tao	1	0
㣢	ti	2	0
㣣	shan	4	0
㣤	jian	4	0
㣥	zhi	4	0
㣦	wei	1	0
㣧	yin	4	0
㣪	huan	3	0
㣫	zhong	3	0
㣬	qi	4	0
㣭	zong	1	0
㣯	xie	4	0
㣰	xie	4	0
㣱	ze	2	0
㣲	wei	2	0
㣵	ta	4	0
㣶	zhan	1	0
㣷	ning	4	0
㣺	xin	1	0
㣻	yi	4	0
㣼	ren	3	0
㣽	shu	4	0
㣾	cha	4	0
㣿	zhuo	2	0
㤁	mian	3	0
㤂	ji	2	0
㤃	fang	2	0
㤄	pei	4	0
㤅	ai	4	0
㤆	fan	4	0
㤇	ao	3	0
㤈	qin	4	0
㤉	qia	1	0
㤊	xiao	4	0
㤋	fen	1	0
㤌	gan	1	0
㤍	qiao	1	0
㤎	ge	1	0
㤏	tong	2	0
㤐	chan	1	0
㤑	you	4	0
㤒	gao	1	0
㤓	ben	4	0
㤔	fu	4	0
㤕	chu	4	0
㤖	zhu	4	0
㤘	zhou	4	0
㤚	hang	2	0
㤛	nin	2	0
㤜	jue	2	0
㤝	chong	1	0
㤞	cha	4	0
㤟	kong	3	0
㤠	lie	4	0
㤡	li	4	0
㤢	yu	4	0
㤤	yu	2	0
㤥	hai	4	0
㤦	li	4	0
㤧	hou	2	0
㤨	gong	3	0
㤩	ke	4	0
㤪	yuan	4	0
㤫	de	2	0
